id,original_timestamp,post_edit_timestamp,delta
247,9 2 2022,9 2 2022,0
262,9 2 2022,10 2 2022,1
274,9 2 2022,10 2 2022,1
275,9 2 2022,8 3 2022,27
277,9 2 2022,9 2 2022,0
283,9 2 2022,11 2 2022,2
295,9 2 2022,10 2 2022,1
316,9 2 2022,10 2 2022,1
320,9 2 2022,8 3 2022,27
1107,9 2 2022,10 2 2022,1
1108,9 2 2022,9 2 2022,0
1109,9 2 2022,9 2 2022,0
1110,9 2 2022,9 2 2022,0
1111,9 2 2022,10 2 2022,1
1112,8 2 2022,10 2 2022,2
1114,9 2 2022,9 2 2022,0
1117,9 2 2022,9 2 2022,0
1118,9 2 2022,9 2 2022,0
1119,9 2 2022,10 2 2022,1
1122,9 2 2022,9 2 2022,0
1125,9 2 2022,9 2 2022,0
1127,9 2 2022,10 2 2022,1
1128,9 2 2022,9 2 2022,0
1135,9 2 2022,10 2 2022,1
1142,9 2 2022,10 2 2022,1
1143,9 2 2022,14 2 2022,5
1144,9 2 2022,9 2 2022,0
1156,9 2 2022,10 2 2022,1
1187,9 2 2022,14 2 2022,5
1189,9 2 2022,9 2 2022,0
1200,9 2 2022,10 2 2022,1
1207,9 2 2022,10 2 2022,1
1208,9 2 2022,9 2 2022,0
1238,9 2 2022,9 2 2022,0
1404,8 2 2022,9 2 2022,1
1411,8 2 2022,8 2 2022,0
1421,20 3 2021,15 2 2022,332
1422,8 10 2021,14 9 2022,341
1424,7 2 2022,15 2 2022,8
1427,5 2 2022,7 2 2022,2
1451,17 11 2014,2 12 2022,2937
1452,17 12 2014,18 11 2022,2893
1523,2 2 2022,3 2 2022,1
2245,9 2 2022,10 2 2022,1
2261,7 2 2022,7 2 2022,0
2262,7 2 2022,7 2 2022,0
2292,2 2 2022,2 2 2022,0
2338,7 1 2022,7 1 2022,0
2353,7 2 2022,7 2 2022,0
2500,9 2 2022,9 2 2022,0
2583,9 2 2022,9 2 2022,0
2681,9 2 2022,9 2 2022,0
2703,9 2 2022,9 2 2022,0
2705,9 2 2022,10 2 2022,1
2710,9 2 2022,14 2 2022,5
2771,9 2 2022,11 2 2022,2
2773,9 2 2022,9 2 2022,0
2805,9 2 2022,10 2 2022,1
2905,9 2 2022,9 2 2022,0
2906,9 2 2022,10 2 2022,1
2912,9 2 2022,9 2 2022,0
2985,9 2 2022,10 2 2022,1
2986,9 2 2022,10 2 2022,1
2990,9 2 2022,9 2 2022,0
3042,9 2 2022,10 2 2022,1
3111,9 2 2022,10 2 2022,1
3189,9 2 2022,9 2 2022,0
3285,9 2 2022,10 2 2022,1
3288,9 2 2022,11 2 2022,2
3289,9 2 2022,13 2 2022,4
3308,9 2 2022,9 2 2022,0
3309,9 2 2022,8 3 2022,27
3310,9 2 2022,9 2 2022,0
3395,9 2 2022,9 2 2022,0
3417,9 2 2022,9 2 2022,0
3420,9 2 2022,9 2 2022,0
3489,9 2 2022,9 2 2022,0
3492,9 2 2022,10 2 2022,1
3626,9 2 2022,10 2 2022,1
3647,9 2 2022,9 2 2022,0
3648,9 2 2022,9 2 2022,0
3683,9 2 2022,10 2 2022,1
3686,9 2 2022,9 2 2022,0
3687,9 2 2022,10 2 2022,1
3709,9 2 2022,10 2 2022,1
3748,9 2 2022,10 2 2022,1
3797,9 2 2022,9 2 2022,0
3798,9 2 2022,10 2 2022,1
3801,9 2 2022,10 2 2022,1
3818,9 2 2022,10 2 2022,1
3846,9 2 2022,9 2 2022,0
3892,9 2 2022,10 2 2022,1
3894,9 2 2022,11 2 2022,2
3969,9 2 2022,11 2 2022,2
4016,9 2 2022,14 2 2022,5
4029,9 2 2022,10 2 2022,1
4066,9 2 2022,13 2 2022,4
4084,9 2 2022,17 2 2022,8
4086,9 2 2022,23 2 2022,14
4162,10 2 2022,13 2 2022,3
4163,10 2 2022,10 2 2022,0
4201,10 2 2022,11 2 2022,1
4243,10 2 2022,10 2 2022,0
4245,10 2 2022,11 2 2022,1
4286,10 2 2022,14 2 2022,4
4300,10 2 2022,10 2 2022,0
4301,10 2 2022,10 2 2022,0
4305,10 2 2022,10 2 2022,0
4383,10 2 2022,10 2 2022,0
4399,10 2 2022,11 2 2022,1
4400,10 2 2022,10 2 2022,0
4402,10 2 2022,10 2 2022,0
4430,10 2 2022,10 2 2022,0
4432,10 2 2022,11 2 2022,1
4436,10 2 2022,11 2 2022,1
4447,10 2 2022,10 2 2022,0
4457,10 2 2022,10 2 2022,0
4458,10 2 2022,10 2 2022,0
4491,10 2 2022,10 2 2022,0
4492,10 2 2022,10 2 2022,0
4501,10 2 2022,10 2 2022,0
4535,10 2 2022,10 2 2022,0
4557,9 2 2022,10 2 2022,1
4612,10 2 2022,10 2 2022,0
4615,10 2 2022,13 2 2022,3
4625,10 2 2022,10 2 2022,0
4626,10 2 2022,10 2 2022,0
4627,10 2 2022,10 2 2022,0
4628,10 2 2022,10 2 2022,0
4630,10 2 2022,10 2 2022,0
4634,10 2 2022,10 2 2022,0
4695,10 2 2022,10 2 2022,0
4703,10 2 2022,18 7 2022,158
4771,10 2 2022,10 2 2022,0
4772,10 2 2022,10 2 2022,0
4773,10 2 2022,10 2 2022,0
4774,9 2 2022,10 2 2022,1
4775,10 2 2022,10 2 2022,0
4776,10 2 2022,10 2 2022,0
4777,10 2 2022,10 2 2022,0
4778,10 2 2022,10 2 2022,0
4782,10 2 2022,11 2 2022,1
4783,10 2 2022,10 2 2022,0
4841,10 2 2022,10 2 2022,0
4873,10 2 2022,11 2 2022,1
4874,10 2 2022,10 2 2022,0
4875,10 2 2022,10 2 2022,0
4876,10 2 2022,10 2 2022,0
4877,10 2 2022,10 2 2022,0
4878,10 2 2022,10 2 2022,0
4885,10 2 2022,10 2 2022,0
4937,10 2 2022,10 2 2022,0
4939,10 2 2022,10 2 2022,0
4958,10 2 2022,10 2 2022,0
4960,10 2 2022,10 2 2022,0
4964,10 2 2022,10 2 2022,0
4966,10 2 2022,13 2 2022,3
5019,10 2 2022,10 2 2022,0
5041,10 2 2022,10 2 2022,0
5043,10 2 2022,10 2 2022,0
5044,10 2 2022,13 2 2022,3
5045,10 2 2022,10 2 2022,0
5049,10 2 2022,10 2 2022,0
5050,10 2 2022,10 2 2022,0
5052,10 2 2022,10 2 2022,0
5152,10 2 2022,10 2 2022,0
5153,10 2 2022,10 2 2022,0
5216,10 2 2022,10 2 2022,0
5250,10 2 2022,10 2 2022,0
5318,10 2 2022,10 2 2022,0
5319,10 2 2022,10 2 2022,0
5348,10 2 2022,10 2 2022,0
5405,10 2 2022,11 2 2022,1
5408,10 2 2022,10 2 2022,0
5431,10 2 2022,10 2 2022,0
5432,10 2 2022,10 2 2022,0
5436,10 2 2022,18 2 2022,8
5437,10 2 2022,10 2 2022,0
5438,10 2 2022,10 2 2022,0
5579,10 2 2022,11 2 2022,1
5607,10 2 2022,10 2 2022,0
5609,10 2 2022,11 2 2022,1
5610,10 2 2022,11 2 2022,1
5611,10 2 2022,1 3 2022,19
5612,10 2 2022,10 2 2022,0
5613,10 2 2022,10 2 2022,0
5637,10 2 2022,11 2 2022,1
5660,10 2 2022,10 2 2022,0
5661,10 2 2022,10 2 2022,0
5662,10 2 2022,10 2 2022,0
5663,10 2 2022,10 2 2022,0
5664,10 2 2022,10 2 2022,0
5669,10 2 2022,10 2 2022,0
5739,10 2 2022,10 2 2022,0
5740,10 2 2022,10 2 2022,0
5746,10 2 2022,10 2 2022,0
5774,10 2 2022,10 2 2022,0
5776,10 2 2022,10 2 2022,0
5847,10 2 2022,10 2 2022,0
5877,10 2 2022,10 2 2022,0
5880,10 2 2022,11 2 2022,1
6055,10 2 2022,10 2 2022,0
6113,10 2 2022,11 2 2022,1
6141,10 2 2022,11 2 2022,1
6263,10 2 2022,10 2 2022,0
6437,10 2 2022,10 2 2022,0
6522,10 2 2022,10 2 2022,0
6525,10 2 2022,11 2 2022,1
6533,10 2 2022,5 8 2022,176
6534,10 2 2022,11 2 2022,1
6535,10 2 2022,10 2 2022,0
6536,10 2 2022,10 2 2022,0
6604,10 2 2022,10 2 2022,0
6632,10 2 2022,11 2 2022,1
6634,10 2 2022,11 2 2022,1
6645,10 2 2022,11 2 2022,1
6701,10 2 2022,10 2 2022,0
6703,10 2 2022,11 2 2022,1
6777,10 2 2022,10 2 2022,0
6795,10 2 2022,11 2 2022,1
6800,10 2 2022,11 2 2022,1
6852,10 2 2022,10 2 2022,0
6929,10 2 2022,10 2 2022,0
6973,10 2 2022,21 2 2022,11
6976,10 2 2022,11 2 2022,1
7004,10 2 2022,11 2 2022,1
7051,10 2 2022,13 2 2022,3
7062,10 2 2022,11 2 2022,1
7133,10 2 2022,11 2 2022,1
7135,10 2 2022,11 2 2022,1
7155,10 2 2022,11 2 2022,1
7181,10 2 2022,10 2 2022,0
7182,10 2 2022,11 2 2022,1
7183,10 2 2022,11 2 2022,1
7189,10 2 2022,10 2 2022,0
7198,10 2 2022,11 2 2022,1
7226,10 2 2022,24 5 2022,103
7242,10 2 2022,11 2 2022,1
7263,10 2 2022,10 2 2022,0
7312,10 2 2022,11 2 2022,1
7334,10 2 2022,11 2 2022,1
7335,10 2 2022,11 2 2022,1
7354,10 2 2022,11 2 2022,1
7355,11 2 2022,11 2 2022,0
7367,11 2 2022,11 2 2022,0
7431,11 2 2022,11 2 2022,0
7433,11 2 2022,11 2 2022,0
7470,11 2 2022,11 2 2022,0
7475,11 2 2022,11 2 2022,0
7479,11 2 2022,11 2 2022,0
